MsgID.STATE,0.0000000,True,True,1
MsgID.LOCAL_POSITION,60.7750000,-0.0514498,0.3224402,-0.0817110
MsgID.LOCAL_VELOCITY,60.7750000,0.0000124,0.0000131,0.0000100
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924796,0.1030000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,61.0250000,-0.0945131,0.2864775,-0.1030185
MsgID.LOCAL_VELOCITY,61.0250000,0.0000097,-0.0000085,0.0000082
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924789,0.1170000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,61.2760000,-0.1711462,0.2860657,-0.1173261
MsgID.LOCAL_VELOCITY,61.2760000,-0.0000217,0.0000216,0.0000109
MsgID.GLOBAL_POSITION,0.0000000,-122.3974496,37.7924784,0.1200000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,61.5260000,-0.2238129,0.3215353,-0.1207433
MsgID.LOCAL_VELOCITY,61.5260000,0.0000117,0.0000101,0.0000137
MsgID.GLOBAL_POSITION,0.0000000,-122.3974508,37.7924789,0.1160000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,61.7760000,-0.1663960,0.2125175,-0.1161828
MsgID.LOCAL_VELOCITY,61.7760000,-0.0000038,-0.0000250,0.0000012
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974512,37.7924790,0.1070000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,62.0260000,-0.1552210,0.1847660,-0.1076646
MsgID.LOCAL_VELOCITY,62.0260000,-0.0000070,-0.0000072,0.0000204
MsgID.GLOBAL_POSITION,0.0000000,-122.3974494,37.7924810,0.0960000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,62.2760000,0.0698865,0.3475495,-0.0967256
MsgID.LOCAL_VELOCITY,62.2760000,0.0000139,-0.0000324,0.0000115
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924803,0.0880000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,62.5260000,-0.0173688,0.2893517,-0.0889916
MsgID.LOCAL_VELOCITY,62.5260000,-0.0000228,-0.0000123,0.0000058
MsgID.GLOBAL_POSITION,0.0000000,-122.3974496,37.7924784,0.0840000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,62.7760000,-0.2227881,0.3252710,-0.0840260
MsgID.LOCAL_VELOCITY,62.7760000,0.0000003,-0.0000013,0.0000057
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974484,37.7924792,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,63.0260000,-0.1363682,0.4292066,-0.0826354
MsgID.LOCAL_VELOCITY,63.0260000,-0.0000129,0.0000084,0.0000082
MsgID.GLOBAL_POSITION,0.0000000,-122.3974513,37.7924807,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,63.2760000,0.0334579,0.1697707,-0.0824997
MsgID.LOCAL_VELOCITY,63.2760000,0.0000035,-0.0000128,0.0000125
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924796,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,63.5260000,-0.0920340,0.2972718,-0.0824997
MsgID.LOCAL_VELOCITY,63.5260000,-0.0000101,0.0000044,0.0000063
MsgID.GLOBAL_POSITION,0.0000000,-122.3974483,37.7924785,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,63.7760000,-0.2176038,0.4411555,-0.0824998
MsgID.LOCAL_VELOCITY,63.7760000,-0.0000279,0.0000089,0.0000057
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974483,37.7924798,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,64.0260000,-0.0734287,0.4419597,-0.0824998
MsgID.LOCAL_VELOCITY,64.0260000,-0.0000435,0.0000061,0.0000008
MsgID.GLOBAL_POSITION,0.0000000,-122.3974498,37.7924795,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,64.2760000,-0.1066424,0.3094593,-0.0824602
MsgID.LOCAL_VELOCITY,64.2760000,-0.0000017,-0.0000028,0.0000137
MsgID.GLOBAL_POSITION,0.0000000,-122.3974498,37.7924792,0.0810000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,64.5270000,-0.1312700,0.3112871,-0.0817390
MsgID.LOCAL_VELOCITY,64.5270000,0.0000097,0.0000033,0.0000126
MsgID.GLOBAL_POSITION,0.0000000,-122.3974504,37.7924812,0.0780000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,64.7770000,0.0886472,0.2491004,-0.0781687
MsgID.LOCAL_VELOCITY,64.7770000,0.0000303,-0.0000035,0.0000028
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974504,37.7924815,0.0700000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,65.0270000,0.1191924,0.2512566,-0.0709561
MsgID.LOCAL_VELOCITY,65.0270000,0.0000160,-0.0000062,0.0000116
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924810,0.0570000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,65.2770000,0.0621715,0.2857006,-0.0566594
MsgID.LOCAL_VELOCITY,65.2770000,0.0000151,-0.0000135,0.0000007
MsgID.GLOBAL_POSITION,0.0000000,-122.3974510,37.7924794,0.0380000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,65.5270000,-0.1122710,0.2045687,-0.0387150
MsgID.LOCAL_VELOCITY,65.5270000,0.0000207,0.0000164,0.0000089
MsgID.GLOBAL_POSITION,0.0000000,-122.3974508,37.7924794,0.0190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.0800000
